year,ic,value,donor_type,description,companyId,company,date,addrStreet,addrCity,addrZip
2020,00442704,0.0,PO,dar,46132228,Libor Janečka,2020-09-29,,,
2020,00442704,45000.0,PO,dar,66219060,"Línková Šárka, JUDr., advokátka",2020-07-23,,,
2020,00442704,0.0,PO,dar,5457106,Lonkova Point s.r.o.,2020-09-04,,,
2020,00442704,0.0,PO,dar,3894258,Lubomír Frait,2020-08-24,,,
2020,00442704,0.0,PO,dar,25190539,LUKRENA a.s.,2020-09-01,,,
2020,00442704,200000.0,PO,dar,8262012,"MÁLEK & PARTNERS, s.r.o.",2020-05-14,,,
2020,00442704,0.0,PO,dar,25227432,"Maňovická zemědělská, a.s.",2020-09-01,,,
2020,00442704,16940.0,PO,dar,75930781,Marcel Sikora,2020-08-11,,,
2020,00442704,33965.0,PO,dar,75930781,Marcel Sikora,2020-09-11,,,
2020,00442704,3307.33,PO,dar,75930781,Marcel Sikora,2020-11-11,,,
2020,00442704,2664.0,PO,dar,75930781,Marcel Sikora,2020-10-15,,,
2020,00442704,97682.0,PO,dar,75930781,Marcel Sikora,2020-09-29,,,
2020,00442704,6624.26,PO,dar,75930781,Marcel Sikora,2020-10-29,,,
2020,00442704,100000.0,PO,dar,75930781,Marcel Sikora,2020-12-02,,,
2020,00442704,0.0,PO,dar,60792825,MATEICIUC a.s.,2020-09-01,,,
2020,00442704,0.0,PO,dar,26011000,MBR bus s.r.o.,2020-08-31,,,
2020,00442704,0.0,PO,dar,64834646,"Meclovská zemědělská, a. s.",2020-09-01,,,
2020,00442704,100000.0,PO,dar,73612260,"Mgr. Stanislava Jurčíková, advokátka",2020-09-29,,,
2020,00442704,10000.0,PO,dar,26190036,MIDKIFF CONSULTANCY SERVICES s.r.o.,2020-12-21,,,
2020,00442704,0.0,PO,dar,28822498,MotoTrade VM s.r.o.,2020-08-17,,,
2020,00442704,0.0,PO,dar,28158369,"Mráz Nemovitosti CZ, s.r.o.",2020-09-01,,,
2020,00442704,0.0,PO,dar,70922136,MUDr. Hana Deáková,2020-09-04,,,
2020,00442704,20000.0,PO,dar,60891092,"MUDr. Jan Nožička, PhD.",2020-06-08,,,
2020,00442704,30000.0,PO,dar,75833492,MUDr. Karel Padalík,2020-10-01,,,
2020,00442704,0.0,PO,dar,66743052,"Nadační fond Josefy a Marie Mildnerových, faráře Františka Fučíka a Františky Bíbrové",2020-09-10,,,
2020,00442704,15000.0,PO,dar,27253350,Napajedelské stavby s.r.o.,2020-09-23,,,
2020,00442704,50000.0,PO,dar,25301144,"Navláčil stavební firma, s.r.o.",2020-10-07,,,
2020,00442704,100000.0,PO,dar,25301144,"Navláčil stavební firma, s.r.o.",2020-08-10,,,
2020,00442704,0.0,PO,dar,16192656,Občanská demokratická strana,2020-08-06,,,
2020,00442704,0.0,PO,dar,297194,Obec Hukvaldy,2020-09-01,,,
2020,00442704,0.0,PO,dar,26806541,Obecně prospěšná společnost DLAŇ ŽIVOTU,2020-09-04,,,
2020,00442704,0.0,PO,dar,22690361,"OD5K10, z. s.",2020-08-01,,,
2020,00442704,33333.0,PO,dar,62411543,"Ordinace Mucha, s.r.o.",2020-09-10,,,
2020,00442704,0.0,PO,dar,64808912,OREL - ŽUPA BRYNYCHOVA,2020-08-20,,,
2020,00442704,0.0,PO,dar,60103736,Orel jednota Hlinsko v Čechách,2020-09-04,,,
2020,00442704,0.0,PO,dar,64629201,Orel jednota Lichnov,2020-09-03,,,
2020,00442704,0.0,PO,dar,64269108,Orel jednota Moravské Budějovice,2020-07-13,,,
2020,00442704,0.0,PO,dar,65264231,Orel jednota Moutnice,2020-08-06,,,
2020,00442704,0.0,PO,dar,65468775,Orel jednota Ostrava-Třebovice,2020-09-04,,,
2020,00442704,0.0,PO,dar,65265343,Orel jednota Pozořice,2020-08-06,,,
2020,00442704,0.0,PO,dar,65666593,Orel jednota Přelouč,2020-09-04,,,
2020,00442704,0.0,PO,dar,62832646,Orel jednota Staré Město,2020-08-23,,,
2020,00442704,0.0,PO,dar,70286213,Orel jednota Suchdol u Prostějova,2020-09-03,,,
2020,00442704,0.0,PO,dar,65265726,Orel jednota Šlapanice,2020-08-06,,,
2020,00442704,0.0,PO,dar,61239704,Orel jednota Vysoké Mýto,2020-09-04,,,
2020,00442704,0.0,PO,dar,65265238,Orel jednota Žatčany,2020-08-06,,,
2020,00442704,0.0,PO,dar,25211943,Osecká zemědělská a obchodní společnost a.s.,2020-09-01,,,
2020,00442704,0.0,PO,dar,26784785,"Palírna Samotišky, s.r.o.",2020-08-25,,,
2020,00442704,0.0,PO,dar,29164044,"Paliva Stříbro, s.r.o.",2020-09-01,,,
